car,price,body,mileage,engV,engType,registration,year,model,drive
Subaru,9980.0,other,165,2.0,Petrol,yes,2007,Forester,full
VAZ,1650.0,sedan,75,1.5,Gas,yes,2003,2106,rear
Skoda,11200.0,vagon,169,1.6,Diesel,yes,2011,Octavia,front
Peugeot,7800.0,van,183,1.6,Diesel,yes,2007,Expert ïàññ.,front
Opel,6200.0,van,220,1.3,Diesel,yes,2008,Combo ïàññ.,front
Opel,2300.0,hatch,200,1.8,Gas,no,2000,Vectra B,front
Opel,2500.0,hatch,211,1.8,Petrol,yes,1994,Vectra A,front
Peugeot,5850.0,van,170,1.6,Diesel,yes,2007,Partner ïàññ.,front
Audi,3550.0,sedan,215,2.5,Diesel,no,2001,A6,front
Audi,2500.0,sedan,371,2.2,Gas,yes,1987,100,front
BMW,8400.0,sedan,297,2.2,Petrol,yes,2000,320,rear
BMW,19900.0,other,129,2.0,Petrol,yes,2008,320,rear
Smart,4150.0,other,99,,Petrol,yes,2002,Fortwo,rear
Hyundai,23800.0,crossover,115,2.2,Diesel,yes,2011,Santa FE,full
VAZ,2800.0,sedan,110,1.5,Gas,yes,2005,21099,front
Renault,8300.0,van,127,1.5,Diesel,yes,2011,Kangoo ïàññ.,front
Volkswagen,1900.0,hatch,100,1.6,Petrol,yes,1989,Golf II,front
Mercedes-Benz,21300.0,crossover,114,4.7,Petrol,yes,2007,GL 450,full
Volkswagen,2500.0,vagon,232,1.6,Petrol,no,2001,Golf IV,front
Mitsubishi,20000.0,crossover,135,2.5,Diesel,yes,2011,Pajero Sport,full
VAZ,2500.0,sedan,43,1.5,Petrol,yes,2004,2107,rear
Porsche,17000.0,crossover,155,3.2,Gas,yes,2004,Cayenne,full
Opel,2800.0,sedan,1,2.0,Gas,yes,1988,Omega,rear
Mercedes-Benz,2000.0,sedan,270,2.9,Diesel,no,1996,E-Class,rear
Opel,9200.0,van,170,1.9,Diesel,yes,2006,Vivaro ïàññ.,front
Volkswagen,11900.0,hatch,91,1.4,Petrol,yes,2010,Golf VI,front
Daewoo,2150.0,sedan,363,1.5,Gas,yes,2007,Nexia,front
BMW,5850.0,sedan,250,4.5,Gas,yes,2001,745,rear
Audi,18700.0,sedan,136,2.0,Diesel,yes,2009,A6,full
Audi,11900.0,sedan,131,2.0,Petrol,yes,2007,A4,front
Toyota,8200.0,vagon,204,1.4,Diesel,yes,2005,Corolla,front
Suzuki,11199.0,crossover,95,2.0,Gas,yes,2007,Grand Vitara,full
Nissan,12200.0,crossover,234,2.0,Petrol,yes,2007,Qashqai,full
Mercedes-Benz,7200.0,sedan,312,3.2,Petrol,yes,2000,E-Class,full
ZAZ,1450.0,other,172,,Gas,yes,2005,110557,front
Volkswagen,10900.0,vagon,204,2.0,Diesel,yes,2007,Passat B6,front
Honda,4300.0,sedan,259,1.5,Petrol,yes,2000,Civic,front
BMW,2600.0,sedan,250,1.6,Petrol,yes,1996,316,rear
Volkswagen,3700.0,sedan,370,2.0,Gas,yes,1992,Passat B3,front
Mercedes-Benz,12999.0,van,130,2.2,Diesel,yes,2012,Vito ãðóç.,front
Volkswagen,13999.0,van,175,2.0,Diesel,yes,2012,T5 (Transporter) ãðóç,front
Mercedes-Benz,12500.0,van,242,2.2,Diesel,yes,2008,Vito ïàññ.,rear
Mercedes-Benz,65000.0,other,0,1.6,Petrol,yes,2016,C-Class,rear
Chevrolet,8200.0,sedan,82,1.6,Gas,yes,2012,Lacetti,front
ZAZ,1800.0,hatch,127,,Petrol,yes,2001,1103 Ñëàâóòà,front
Lexus,23000.0,hatch,75,1.8,Other,yes,2011,CT,front
Mazda,9200.0,sedan,86,1.6,Gas,yes,2008,3,front
Volkswagen,21550.0,crossover,58,1.4,Petrol,yes,2014,Tiguan,
Land Rover,6600.0,crossover,298,2.5,Diesel,yes,1997,Discovery,full
Volkswagen,9000.0,sedan,59,1.6,Gas,yes,2013,Polo,front
Hyundai,6300.0,hatch,97,1.4,Petrol,yes,2007,Getz,front
Toyota,10200.0,sedan,122,7.2,Petrol,yes,2011,Corolla,front
Mitsubishi,9500.0,crossover,140,2.4,Gas,yes,2007,Outlander,full
Mercedes-Benz,2000.0,sedan,320,2.2,Diesel,no,1998,E-Class,
Honda,26000.0,crossover,68,2.0,Petrol,yes,2012,CR-V,full
Opel,10800.0,van,173,2.0,Diesel,yes,2011,Vivaro ãðóç.,front
Peugeot,11000.0,hatch,42,1.6,Petrol,yes,2011,308,front
Ford,1750.0,van,350,2.5,Diesel,yes,1990,Transit ãðóç.,rear
Opel,13700.0,van,131,2.0,Diesel,yes,2009,Vivaro ïàññ.,front
Volkswagen,2850.0,sedan,350,2.0,Petrol,yes,1990,Passat B3,front
Hyundai,7700.0,sedan,117,1.6,Petrol,yes,2007,Elantra,front
VAZ,3600.0,vagon,163,1.6,Other,yes,2007,2112,front
ZAZ,1350.0,hatch,91,1.1,Petrol,yes,2004,1102 Òàâðèÿ,front
Acura,11111.0,crossover,199,3.5,Petrol,yes,2005,MDX,full
Opel,15900.0,other,84,2.0,Diesel,yes,2010,Vivaro ïàññ.,front
BMW,42000.0,sedan,71,2.99,Petrol,yes,2011,535,full
Mitsubishi,28500.0,crossover,0,2.0,Petrol,yes,2016,Outlander,full
Ford,0.0,other,108,1.8,Diesel,yes,2011,Tourneo Connect ïàññ.,front
Mitsubishi,33000.0,other,0,2.4,Diesel,yes,2016,L 200,full
Mitsubishi,25000.0,crossover,0,2.0,Petrol,yes,2016,Outlander,front
Mercedes-Benz,68500.0,crossover,68,3.0,Diesel,yes,2014,GL 350,full
Mitsubishi,36000.0,crossover,0,2.4,Petrol,yes,2016,Outlander,full
Mitsubishi,46000.0,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,full
Mitsubishi,40800.0,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,full
Ford,8700.0,hatch,78,1.4,Diesel,yes,2012,Fiesta,front
Citroen,13900.0,hatch,57,1.6,Gas,yes,2012,DS4,front
VAZ,4200.0,hatch,36,1.6,Petrol,yes,2012,2113,front
Volkswagen,0.0,other,201,1.9,Diesel,yes,2007,T5 (Transporter) ïàññ.,front
BMW,3400.0,vagon,191,2.0,Diesel,no,2002,320,rear
Chery,6800.0,crossover,72,,Petrol,yes,2011,Tiggo,front
Mercedes-Benz,22000.0,other,53,3.0,Petrol,yes,2007,CLK 280,rear
Mercedes-Benz,18900.0,other,50,3.5,Petrol,yes,2005,SLK 350,full
Mercedes-Benz,5000.0,sedan,215,2.6,Gas,yes,1992,E-Class,rear
Daewoo,3750.0,sedan,102,,Petrol,yes,2008,Lanos,front
Mitsubishi,5400.0,sedan,200,1.6,Gas,yes,2005,Lancer,front
Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000,Sprinter 312 ïàññ.,rear
BMW,13500.0,sedan,138,2.5,Petrol,yes,2004,525,rear
Hyundai,14500.0,crossover,90,2.7,Gas,yes,2008,Santa FE,full
Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006,Outlander,full
Subaru,18900.0,crossover,100,2.0,Petrol,yes,2012,Forester,full
Mitsubishi,2300.0,sedan,420,1.8,Petrol,yes,1991,Galant,front
Opel,2400.0,sedan,333,2.0,Diesel,no,2000,Omega,rear
Audi,3500.0,sedan,354,2.5,Diesel,no,2000,A6,full
Land Rover,34900.0,crossover,38,2.2,Diesel,yes,2013,Freelander,full
Peugeot,11500.0,other,103,3.0,Petrol,yes,1998,406,front
Mercedes-Benz,14500.0,van,207,2.2,Diesel,yes,2008,Vito ïàññ.,rear
VAZ,3500.0,sedan,250,1.5,Petrol,yes,2005,2115,front
VAZ,3650.0,vagon,145,1.6,Gas,yes,2006,2111,
Volvo,38900.0,crossover,0,2.0,Diesel,yes,2016,XC60,front
Volkswagen,5500.0,van,380,2.4,Diesel,yes,1999,T4 (Transporter) ãðóç,front
Toyota,3650.0,hatch,260,1.3,Petrol,yes,1996,Corolla,front
Kia,23000.0,crossover,32,2.0,Diesel,yes,2014,Sportage,full
Toyota,23000.0,crossover,233,4.0,Gas,yes,2006,Land Cruiser Prado,full
VAZ,2950.0,hatch,206,1.5,Petrol,yes,2006,2114,front
Nissan,5700.0,sedan,202,,Petrol,yes,2003,Almera,
BMW,4850.0,sedan,280,3.0,Diesel,no,1999,730,rear
Nissan,12500.0,crossover,167,3.5,Gas,yes,2007,Murano,full
Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,A6,front
Hyundai,6200.0,sedan,82,1.4,Gas,yes,2009,Accent,front
Mercedes-Benz,2300.0,sedan,300,2.0,Petrol,yes,1991,E-Class,rear
BMW,4700.0,sedan,200,2.5,Petrol,yes,1995,525,rear
Opel,3350.0,sedan,300,1.8,Petrol,yes,1997,Vectra B,front
Volvo,10900.0,sedan,135,1.6,Petrol,yes,2009,S40,front
BMW,75000.0,crossover,20,3.0,Diesel,yes,2014,X5,full
Volkswagen,7650.0,sedan,325,1.8,Gas,yes,2003,Passat B5,front
Volkswagen,19500.0,sedan,82,1.8,Petrol,yes,2011,Passat B7,front
Mitsubishi,8000.0,sedan,145,2.0,Gas,yes,2007,Lancer,front
Nissan,2600.0,sedan,280,,Petrol,yes,1990,Sunny,front
Toyota,25555.0,crossover,128,4.7,Gas,yes,2004,Land Cruiser 100,full
Skoda,13000.0,vagon,198,1.6,Diesel,yes,2012,Octavia A5,front
Great Wall,8500.0,crossover,70,2.4,Gas,yes,2008,Hover,full
Volkswagen,9500.0,van,205,2.0,Petrol,yes,2006,Passat B6,front
Renault,7450.0,hatch,68,1.2,Petrol,yes,2009,Modus,front
Opel,1750.0,sedan,247,1.6,Petrol,no,1996,Vectra B,front
Honda,6500.0,crossover,318,2.0,Petrol,yes,1997,CR-V,full
Geely,8500.0,sedan,21,1.5,Gas,yes,2014,Emgrand 7 (EC7),front
Peugeot,8500.0,sedan,155,2.0,Petrol,yes,2007,407,front
Mitsubishi,11800.0,sedan,1,1.5,Gas,yes,2010,Lancer X,
Audi,10900.0,sedan,225,2.4,Petrol,yes,2005,A6,front
Moskvich-Izh,1111.46295,van,1,,Gas,yes,2003,2117,
Toyota,27500.0,crossover,85,4.0,Petrol,yes,2007,Land Cruiser Prado,full
Volkswagen,22500.0,crossover,151,3.0,Diesel,yes,2009,Touareg,full
Mitsubishi,2199.0,hatch,400,1.8,Other,yes,1991,Galant,
Moskvich-Izh,1100.0,van,160,1.6,Gas,yes,2005,2717,rear
Toyota,16800.0,crossover,238,4.0,Gas,yes,2004,Land Cruiser Prado,full
BMW,17200.0,crossover,308,4.6,Gas,yes,2003,X5,full
Daewoo,4000.0,sedan,78,1.3,Gas,yes,2011,Sens,front
Saab,7000.0,sedan,210,2.3,Petrol,yes,2000,9-May,front
Opel,5200.0,sedan,218,1.6,Gas,yes,2002,Astra G,front
Citroen,7950.0,van,48,1.6,Diesel,yes,2013,Berlingo ãðóç.,front
Chrysler,10700.0,sedan,129,2.7,Gas,yes,2006,300 C,rear
Honda,8780.85,hatch,140,1.8,Petrol,yes,2007,Civic,front
Audi,34419.45,sedan,0,1.4,Petrol,yes,2016,Q3,
Skoda,11300.0,sedan,80,1.8,Petrol,yes,2008,Superb,front
UAZ,5500.0,crossover,1,2.4,Petrol,yes,2016,469,full
Chery,4800.0,sedan,86,2.0,Gas,yes,2008,Eastar,front
Mercedes-Benz,41000.0,van,55,3.0,Diesel,yes,2011,Viano ïàññ.,rear
Ford,1099.0,other,333,1.6,Petrol,yes,1987,Sierra,rear
Nissan,5800.0,sedan,241,2.0,Petrol,yes,2004,Maxima,front
Land Rover,81500.0,crossover,45,5.0,Petrol,yes,2013,Range Rover Sport,full
Mazda,6500.0,other,135,1.3,Petrol,yes,2004,RX-8,rear
Lancia,1950.0,sedan,1,2.5,Diesel,yes,1990,Thema,front
Mercedes-Benz,0.0,crossover,1,3.0,Diesel,yes,2016,GLS 350,full
Hyundai,7200.0,van,125,1.5,Diesel,yes,2007,Matrix,front
Daewoo,4299.0,sedan,140,1.5,Gas,yes,2008,Lanos,front
Mercedes-Benz,14500.0,van,205,2.2,Diesel,yes,2012,Sprinter 313 ãðóç.,
Mercedes-Benz,7500.0,sedan,319,3.2,Gas,yes,1997,S 320,rear
Volkswagen,10600.0,sedan,118,1.8,Petrol,yes,2008,Passat B6,front
Mercedes-Benz,85000.0,van,3,2.2,Diesel,yes,2016,V 250,full
Ford,13500.0,sedan,65,2.3,Petrol,yes,2009,Mondeo,front
Toyota,8800.0,crossover,388,4.2,Diesel,yes,1997,Land Cruiser 80,full
Hyundai,5300.0,other,186,1.3,Petrol,yes,2005,Getz,front
ZAZ,1250.0,other,165,1.2,Gas,yes,2004,110557,front
Mazda,12750.0,sedan,110,,Petrol,yes,2010,6,front
Volkswagen,4500.0,sedan,230,2.0,Gas,yes,1996,Passat B4,front
Mercedes-Benz,11400.0,van,174,2.2,Diesel,yes,2012,Vito ãðóç.,rear
Toyota,18800.0,vagon,89,1.8,Petrol,yes,2012,Avensis,front
Mazda,4900.0,hatch,280,2.0,Gas,yes,1998,626,front
Mercedes-Benz,46900.0,other,10,2.2,Diesel,yes,2012,E-Class,rear
Hyundai,18500.0,crossover,72,2.0,Gas,yes,2011,IX35,full
Mitsubishi,7000.0,sedan,99,1.6,Petrol,yes,2005,Lancer,front
Nissan,7600.0,hatch,88,1.2,Petrol,yes,2008,Micra,front
Mercedes-Benz,4500.0,van,180,2.3,Diesel,yes,1998,Vito ãðóç.,front
Volkswagen,10000.0,van,283,2.5,Diesel,yes,2005,T5 (Transporter) ïàññ.,front
BMW,0.0,sedan,65,2.0,Petrol,yes,2012,320,rear
Nissan,3000.0,hatch,500,2.0,Petrol,yes,1991,Primera,front
Lexus,4400.0,crossover,215,3.0,Gas,no,2000,RX 300,full
Renault,7600.0,sedan,97,1.6,Petrol,yes,2008,Megane,front
GAZ,6500.0,sedan,80,,Other,yes,1979,24,
Volkswagen,14700.0,sedan,97,1.4,Gas,yes,2012,Passat B7,front
Renault,7150.0,vagon,1,1.5,Diesel,yes,2005,Megane,front
BMW,45000.0,crossover,80,3.0,Petrol,yes,2011,X6,full
Toyota,9800.0,sedan,178,1.8,Petrol,yes,2007,Avensis,front
Nissan,3330.0,crossover,350,3.3,Gas,no,2000,Pathfinder,full
Skoda,12226.5,crossover,83,1.2,Petrol,yes,2012,Yeti,front
VAZ,3800.0,sedan,1,1.6,Petrol,yes,2008,2115,front
Mercedes-Benz,11000.0,crossover,148,3.2,Petrol,yes,2001,ML 320,full
Opel,2500.0,vagon,400,1.4,Petrol,yes,1991,Kadett,front
Fiat,9800.0,van,185,2.0,Diesel,yes,2009,Scudo ïàññ.,front
Volkswagen,1900.0,sedan,297,1.6,Petrol,yes,1987,Jetta,front
BMW,28000.0,sedan,127,2.5,Petrol,yes,2010,523,rear
Renault,0.0,vagon,180,1.5,Diesel,yes,2011,Megane,front
Daewoo,4500.0,sedan,27,1.3,Petrol,yes,2005,Sens,front
VAZ,1800.0,hatch,80,1.5,Gas,yes,1997,2109,front
Skoda,0.0,vagon,106,1.6,Diesel,yes,2011,Octavia A5,front
Honda,25000.0,crossover,20,2.0,Petrol,yes,2012,CR-V,full
Volkswagen,65000.0,crossover,24,,Other,yes,2015,Touareg,
Volkswagen,6500.0,sedan,74,2.0,Petrol,no,2011,Jetta,front
Nissan,17000.0,hatch,25,,Other,yes,2014,Leaf,front
Nissan,15300.0,hatch,33,,Other,yes,2014,Leaf,front
Subaru,15590.0,crossover,115,3.6,Petrol,yes,2008,Tribeca,full
Kia,5000.0,sedan,220,2.0,Petrol,yes,2002,Magentis,front
Lifan,4300.0,hatch,76,1.3,Petrol,yes,2013,320,
Volkswagen,11000.0,van,282,2.5,Diesel,yes,2006,T5 (Transporter) ïàññ.,front
Toyota,10100.0,other,83,1.6,Other,yes,2008,Corolla,front
Audi,3500.0,vagon,250,2.5,Diesel,no,1998,A6,front
Kia,23500.0,crossover,125,2.2,Diesel,yes,2012,Sorento,full
Ford,10800.0,hatch,86,1.4,Gas,yes,2011,Fiesta,front
Ford,9200.0,hatch,122,1.8,Diesel,yes,2008,Focus,front
Renault,8800.0,van,250,1.9,Diesel,yes,2006,Trafic ïàññ.,front
Lexus,10800.0,sedan,183,3.3,Gas,yes,2003,ES 330,front
Renault,11900.0,van,143,2.0,Diesel,yes,2009,Trafic ïàññ.,front
Nissan,7900.0,crossover,218,2.5,Petrol,yes,2003,X-Trail,full
VAZ,1999.0,hatch,100,1.45,Petrol,yes,2001,21093,front
Mercedes-Benz,34999.0,other,85,5.5,Petrol,yes,2008,CL 55 AMG,rear
Mercedes-Benz,70500.0,crossover,99,5.5,Petrol,yes,2009,G 55 AMG,full
Mitsubishi,11500.0,crossover,170,3.0,Gas,yes,2005,Pajero Sport,full
BMW,23500.0,crossover,180,4.8,Petrol,yes,2008,X5,full
Hyundai,8900.0,crossover,160,2.0,Diesel,yes,2006,Santa FE,full
Hyundai,13999.0,sedan,9,1.4,Diesel,yes,2014,i30,front
Volkswagen,12300.0,hatch,62,1.4,Petrol,yes,2012,Polo,front
Volkswagen,10500.0,van,170,1.6,Diesel,yes,2013,Caddy ãðóç.,front
Ford,21500.0,other,175,6.0,Other,yes,2004,F-350,
Skoda,7500.0,sedan,135,1.4,Petrol,yes,2010,Fabia,front
Daewoo,5700.0,sedan,178,1.6,Gas,yes,2003,Nubira,front
Renault,8250.0,van,66,1.5,Diesel,yes,2014,Kangoo ãðóç.,front
Daewoo,3400.0,hatch,90,0.8,Petrol,yes,2006,Matiz,front
Mazda,14200.0,crossover,107,2.3,Petrol,yes,2008,CX-7,full
Ford,7000.0,van,137,1.8,Diesel,yes,2011,Transit Connect ãðóç.,front
Peugeot,5900.0,hatch,190,,Gas,yes,2008,206,front
Volkswagen,11500.0,van,210,2.0,Diesel,yes,2012,Caddy ãðóç.,front
Volkswagen,2700.0,hatch,400,1.8,Gas,yes,1989,Golf II,front
Hyundai,9000.0,crossover,170,2.0,Petrol,yes,2008,Tucson,front
Toyota,9200.0,sedan,250,2.4,Gas,yes,2003,Camry,front
Ford,3000.0,van,280,2.0,Diesel,yes,2004,Transit ïàññ.,front
Skoda,8500.0,hatch,68,1.4,Petrol,yes,2012,Fabia,front
Lexus,17000.0,sedan,157,3.0,Petrol,yes,2007,GS 300,rear
Opel,9350.0,van,143,2.0,Other,yes,2011,Vivaro ãðóç.,front
Mercedes-Benz,13200.0,other,196,2.2,Other,yes,2012,Sprinter 313 ãðóç.,
Mitsubishi,6900.0,sedan,122,1.6,Petrol,yes,2008,Lancer,front
Toyota,11500.0,van,161,2.5,Diesel,yes,2002,Hiace ïàññ.,rear
Volkswagen,11800.0,van,218,1.9,Diesel,yes,2008,T5 (Transporter) ïàññ.,front
BMW,21700.0,crossover,101,2.5,Gas,yes,2007,X3,full
Nissan,7800.0,sedan,118,1.6,Petrol,yes,2008,TIIDA,
Volkswagen,2300.0,vagon,200,1.9,Diesel,no,1999,Passat B5,front
Mercedes-Benz,2200.0,sedan,168,2.0,Petrol,no,1994,E-Class,rear
VAZ,950.0,sedan,76,1.3,Petrol,yes,1983,2105,rear
Smart,3999.0,hatch,171,0.6,Petrol,yes,2002,Fortwo,rear
Chevrolet,4500.0,sedan,104,1.5,Petrol,yes,2005,Aveo,front
Mercedes-Benz,2900.0,other,248,2.0,Petrol,no,1999,CLK 200,rear
BMW,15250.0,other,144,3.0,Petrol,yes,2004,530,rear
BMW,10600.0,sedan,285,2.0,Diesel,yes,2007,520,
Mazda,7200.0,sedan,152,1.6,Petrol,yes,2007,3,front
Mercedes-Benz,11300.0,other,220,3.2,Diesel,yes,2003,E-Class,rear
Mercedes-Benz,5500.0,sedan,440,2.0,Petrol,yes,1978,E-Class,rear
BMW,26900.0,crossover,140,4.8,Petrol,yes,2009,X5,full
Honda,4599.0,hatch,210,1.4,Gas,yes,1998,Civic,front
Land Rover,96000.0,crossover,47,4.4,Diesel,yes,2013,Range Rover,full
Nissan,19451.25,crossover,0,1.6,Petrol,yes,2016,Juke,front
Volkswagen,14900.0,vagon,165,1.4,Petrol,yes,2013,Passat B7,front
Renault,7700.0,sedan,100,1.6,Gas,yes,2008,Megane,front
Honda,8900.0,sedan,124,1.8,Petrol,yes,2007,Civic,front
Volkswagen,19000.0,vagon,185,2.0,Diesel,yes,2011,Passat B7,front
Porsche,47900.0,crossover,140,4.8,Petrol,yes,2011,Cayenne,full
Geely,4900.0,sedan,17,1.5,Petrol,yes,2013,CK-2,
Mercedes-Benz,0.0,sedan,240,2.2,Diesel,yes,2001,E-Class,rear
Subaru,8000.0,crossover,142,,Other,yes,2007,Forester,full
Ford,5700.0,van,216,1.8,Diesel,yes,2010,Transit Connect ãðóç.,front
Peugeot,7250.0,hatch,153,2.0,Gas,yes,2005,307,front
Volkswagen,3200.0,sedan,367,2.0,Petrol,yes,1991,Passat B3,front
Opel,2200.0,vagon,210,2.5,Diesel,no,2001,Omega,rear
Nissan,16500.0,sedan,2,,Other,yes,2015,Leaf,front
Mitsubishi,8400.0,crossover,100,3.2,Diesel,yes,2011,Pajero Wagon,full
Ford,8950.0,sedan,86,1.6,Petrol,yes,2011,Focus,front
Ford,12000.0,sedan,130,2.5,Gas,yes,2008,Mondeo,front
Opel,0.0,van,160,1.4,Gas,yes,2009,Combo ïàññ.,front
Geely,8499.0,sedan,46,1.5,Gas,yes,2013,Emgrand 7 (EC7),front
VAZ,1300.0,sedan,100,1.6,Petrol,yes,1992,2107,rear
Volkswagen,17900.0,crossover,130,3.6,Gas,yes,2007,Touareg,full
VAZ,1100.0,sedan,98,1.5,Gas,yes,1982,2106,rear
Skoda,0.0,vagon,320,1.9,Diesel,no,1999,Octavia,front
Mercedes-Benz,7000.0,other,260,2.2,Diesel,yes,2000,Vito ïàññ.,front
SsangYong,12900.0,crossover,159,2.7,Diesel,yes,2008,Rexton II,full
Mercedes-Benz,15800.0,sedan,231,3.5,Gas,yes,2005,E-Class,rear
Volkswagen,6000.0,van,460,1.9,Diesel,yes,1997,T4 (Transporter) ïàññ.,front
Hyundai,17250.0,crossover,97,2.0,Gas,yes,2011,IX35,full
BMW,57000.0,other,20,3.5,Petrol,yes,2013,X6,
Chery,3000.0,sedan,140,1.6,Gas,yes,2008,Amulet,front
Volkswagen,7800.0,van,352,2.5,Diesel,yes,2001,T4 (Transporter) ïàññ.,front
VAZ,3550.0,sedan,152,1.6,Petrol,yes,2008,2170,front
Skoda,6777.0,vagon,123,1.4,Petrol,yes,2007,Fabia,front
Nissan,13990.0,sedan,73,2.5,Petrol,yes,2013,Teana,front
Mitsubishi,2900.0,sedan,350,1.6,Petrol,yes,1994,Lancer,front
Daewoo,4000.0,sedan,154,1.5,Gas,yes,2008,Lanos,front
Honda,16200.0,sedan,90,2.4,Petrol,yes,2008,Accord,front
Audi,2750.0,sedan,450,2.5,Diesel,no,1999,A6,front
Opel,4000.0,sedan,144,2.2,Petrol,no,2004,Vectra C,front
Volkswagen,9000.0,sedan,59,2.0,Petrol,no,2010,Passat B6,front
BMW,10800.0,sedan,180,2.0,Petrol,yes,2002,318,rear
Ford,10800.0,sedan,130,1.6,Petrol,yes,2011,Mondeo,front
VAZ,3450.0,sedan,110,1.6,Petrol,yes,2008,21099,front
Nissan,0.0,crossover,130,2.0,Petrol,yes,2007,Qashqai,full
BMW,4300.0,sedan,240,2.5,Diesel,no,2002,525,rear
Opel,1390.0,hatch,270,,Petrol,no,1997,Vectra B,front
Nissan,18000.0,hatch,27,,Other,yes,2013,Leaf,front
Renault,8000.0,van,189,1.9,Diesel,yes,2005,Trafic ïàññ.,front
Mercedes-Benz,11700.0,hatch,103,1.5,Petrol,yes,2007,A 150,front
Honda,14800.0,sedan,140,2.4,Petrol,yes,2008,Accord,front
Kia,16200.0,crossover,137,2.0,Gas,yes,2012,Sportage,front
Opel,1400.0,sedan,1,2.0,Petrol,yes,1988,Omega,rear
Mercedes-Benz,9300.0,sedan,270,2.7,Diesel,yes,2001,E-Class,rear
Renault,8200.0,vagon,180,1.6,Gas,yes,2010,Kangoo ïàññ.,front
Hyundai,13950.0,sedan,67,1.8,Petrol,yes,2012,Elantra,front
Skoda,9700.0,sedan,130,2.0,Diesel,yes,2009,Octavia A5,front
Lexus,2800.0,sedan,227,2.0,Diesel,no,2000,IS 200,front
VAZ,3100.0,hatch,198,1.6,Gas,yes,2005,2112,front
Kia,11500.0,sedan,100,1.6,Gas,yes,2012,Rio,front
Audi,10700.0,vagon,222,2.5,Diesel,yes,2005,A6,front
Hyundai,6999.0,sedan,103,1.5,Diesel,yes,2008,Accent,front
Toyota,25200.0,crossover,128,4.0,Gas,yes,2007,Land Cruiser Prado,full
Nissan,3400.0,sedan,220,1.4,Gas,yes,1997,Almera,front
Smart,3450.0,sedan,155,0.6,Petrol,yes,1999,Fortwo,rear
BMW,42500.0,crossover,29,3.0,Petrol,yes,2011,X3,full
Opel,9300.0,sedan,189,1.6,Petrol,yes,2011,Astra H,front
Mercedes-Benz,12250.0,other,185,2.2,Diesel,yes,2012,Vito ãðóç.,rear
BMW,38000.0,sedan,61,,Petrol,yes,2013,535,rear
VAZ,1650.0,other,1,1.3,Gas,yes,1988,2105,rear
Opel,2700.0,sedan,278,2.0,Gas,yes,1991,Omega,rear
Jaguar,9800.0,sedan,240,3.0,Petrol,yes,2001,X-Type,full
Toyota,11950.0,hatch,120,1.4,Petrol,yes,2013,Auris,front
Volkswagen,9750.0,van,1,1.9,Diesel,yes,2004,T5 (Transporter) ïàññ.,
Volkswagen,18900.0,hatch,56,2.0,Petrol,yes,2012,Golf GTI,front
Volkswagen,14800.0,sedan,85,1.4,Petrol,yes,2013,Jetta,front
Hyundai,10500.0,crossover,112,2.0,Petrol,yes,2008,Tucson,full
Renault,8800.0,van,200,1.9,Diesel,yes,2005,Trafic ïàññ.,front
Honda,11000.0,sedan,180,2.0,Petrol,yes,2006,Accord,front
Chevrolet,6550.0,sedan,134,1.6,Gas,yes,2008,Aveo,front
Fiat,3100.0,hatch,179,1.4,Gas,yes,1992,Tipo,front
BMW,33500.0,sedan,65,2.0,Petrol,yes,2013,520,rear
Land Rover,8900.0,crossover,295,4.6,Gas,yes,2000,Range Rover,full
Subaru,6500.0,sedan,226,1.6,Gas,yes,2002,Impreza,full
Chevrolet,5400.0,hatch,137,1.5,Petrol,yes,2006,Aveo,front
VAZ,0.0,sedan,1,1.7,Gas,yes,1973,2106,rear
Ford,8400.0,hatch,36,1.3,Petrol,yes,2012,Fiesta,front
Volkswagen,15800.0,sedan,56,1.4,Other,yes,2013,Jetta,front
Honda,15000.0,other,180,2.4,Petrol,yes,2008,Accord,front
Renault,10200.0,van,183,2.0,Diesel,yes,2012,Trafic ãðóç.,front
VAZ,1500.0,hatch,54,1.1,Gas,yes,1992,2108,front
Chevrolet,3500.0,van,318,3.1,Petrol,yes,1994,Lumina,front
VAZ,2900.0,hatch,188,,Gas,yes,2005,2114,front
Volkswagen,8900.0,hatch,128,1.4,Petrol,yes,2010,Polo,front
Volkswagen,18000.0,crossover,117,2.5,Diesel,yes,2006,Touareg,full
ZAZ,1250.0,hatch,164,,Petrol,yes,2005,Òàâðèÿ-Íîâà,front
Chery,3000.0,other,111,1.3,Gas,yes,2007,Jaggi,front
Peugeot,10800.0,van,28,1.6,Diesel,yes,2014,Partner ãðóç.,front
Lexus,22200.0,sedan,172,4.6,Petrol,yes,2008,LS 460,rear
Mercedes-Benz,10500.0,sedan,266,5.0,Gas,yes,2004,S 500,rear
VAZ,2800.0,sedan,130,85.0,Petrol,yes,2006,1118,
Toyota,7000.0,crossover,150,2.0,Petrol,yes,2000,Rav 4,front
Mazda,1100.0,sedan,200,2.0,Diesel,yes,1987,626,front
Chevrolet,5800.0,vagon,129,1.8,Gas,yes,2007,Lacetti,front
